COMPUTED FEM SOLUTION:
phi[482] = 0.430469
phi[483] = 0.472544
phi[484] = 0.515127
phi[485] = 0.558247
phi[486] = 0.601939
phi[487] = 0.646241
phi[488] = 0.691198
phi[489] = 0.736865
phi[490] = 0.783303
phi[491] = 0.830589
phi[492] = 0.878816
phi[493] = 0.9281
phi[494] = 0.978591
phi[495] = 1.03049
phi[496] = 1.08408
phi[497] = 1.13977
phi[498] = 1.19819
phi[499] = 1.26036
phi[500] = 1.32766
phi[501] = 1.40069
phi[502] = 1.46319
phi[503] = 1.52085
phi[504] = 1.5749
phi[505] = 1.62655
phi[506] = 1.6765
phi[507] = 1.72517
phi[508] = 1.77285
phi[509] = 1.81971
phi[510] = 1.8659
phi[511] = 1.91152
phi[512] = 1.95665
phi[513] = 2.00135
phi[514] = 2.04568
phi[515] = 2.08968
phi[516] = 2.13337
phi[517] = 2.17681
phi[518] = 2.22
phi[519] = 2.26298
phi[520] = 2.30575
phi[521] = 2.34835
phi[522] = 2.39078
phi[523] = 2.43306
phi[524] = 2.47519
phi[525] = 2.5172
phi[526] = 2.55909
phi[527] = 2.60086
phi[528] = 2.64254
phi[529] = 2.68411
phi[530] = 2.7256
phi[531] = 2.767
phi[532] = 2.80832
phi[533] = 2.84957
phi[534] = 2.89075
phi[535] = 2.93187
phi[536] = 2.97293
phi[537] = 3.01393
phi[538] = 3.05488
phi[539] = 3.09577
phi[540] = 3.13662
phi[541] = 3.17743
phi[542] = 3.21819
phi[543] = 3.25891
phi[544] = 3.2996
phi[545] = 3.34025
phi[546] = 3.38087
phi[547] = 3.42145
phi[548] = 3.46201
phi[549] = 3.50253
phi[550] = 3.54304
phi[551] = 3.58351
phi[552] = 3.62396
phi[553] = 3.66439
phi[554] = 3.7048
phi[555] = 3.74518
phi[556] = 3.78555
phi[557] = 3.8259
phi[558] = 3.86623
phi[559] = 3.90654
phi[560] = 3.94684
phi[561] = 3.98712
phi[562] = 4.02739
phi[563] = 4.06765
phi[564] = 4.10789
phi[565] = 4.14812
phi[566] = 4.18834
phi[567] = 4.22854
phi[568] = 4.26874
phi[569] = 4.30893
phi[570] = 4.3491
phi[571] = 4.38927
phi[572] = 4.42943
phi[573] = 4.46958
phi[574] = 4.50972
phi[575] = 4.54985
phi[576] = 4.58998
phi[577] = 4.6301
phi[578] = 4.67021
phi[579] = 4.71031
phi[580] = 4.75041
phi[581] = 4.79051
phi[582] = 4.83059
phi[583] = 4.87067
phi[584] = 4.91075
phi[585] = 4.95082
phi[586] = 4.99089
phi[587] = 5.03095
phi[588] = 5.071
phi[589] = 5.11106
phi[590] = 5.1511
phi[591] = 5.19114
phi[592] = 5.23118
phi[593] = 5.27122
phi[594] = 5.31125
phi[595] = 5.35127
phi[596] = 5.39129
phi[597] = 5.43131
phi[598] = 5.47132
phi[599] = 5.51133
phi[600] = 5.55134
phi[601] = 5.59134
phi[602] = -4.83641
phi[603] = -4.80642
phi[604] = -4.77644
phi[605] = -4.74648
phi[606] = -4.71653
phi[607] = -4.6866
phi[608] = -4.65668
phi[609] = -4.62678
phi[610] = -4.59689
phi[611] = -4.56702
phi[612] = -4.53716
phi[613] = -4.50732
phi[614] = -4.47749
phi[615] = -4.44768
phi[616] = -4.41789
phi[617] = -4.38811
phi[618] = -4.35835
phi[619] = -4.3286
phi[620] = -4.29888
phi[621] = -4.26917
phi[622] = -4.23947
phi[623] = -4.2098
phi[624] = -4.18014
phi[625] = -4.15051
phi[626] = -4.12089
phi[627] = -4.09129
phi[628] = -4.06171
phi[629] = -4.03215
phi[630] = -4.00261
phi[631] = -3.97309
phi[632] = -3.94359
phi[633] = -3.91412
phi[634] = -3.88467
phi[635] = -3.85524
phi[636] = -3.82583
phi[637] = -3.79645
phi[638] = -3.7671
phi[639] = -3.73777
phi[640] = -3.70847
phi[641] = -3.67919
phi[642] = -3.64995
phi[643] = -3.62073
phi[644] = -3.59154
phi[645] = -3.56238
phi[646] = -3.53326
phi[647] = -3.50417
phi[648] = -3.47511
phi[649] = -3.44609
phi[650] = -3.4171
phi[651] = -3.38815
phi[652] = -3.35924
phi[653] = -3.33037
phi[654] = -3.30154
phi[655] = -3.27275
phi[656] = -3.24401
phi[657] = -3.21532
phi[658] = -3.18667
phi[659] = -3.15807
phi[660] = -3.12952
phi[661] = -3.10103
phi[662] = -3.07259
phi[663] = -3.04421
phi[664] = -3.01589
phi[665] = -2.98763
phi[666] = -2.95943
phi[667] = -2.93131
phi[668] = -2.90325
phi[669] = -2.87527
phi[670] = -2.84736
phi[671] = -2.81953
phi[672] = -2.79179
phi[673] = -2.76414
phi[674] = -2.73657
phi[675] = -2.70911
phi[676] = -2.68174
phi[677] = -2.65448
phi[678] = -2.62733
phi[679] = -2.6003
phi[680] = -2.57339
phi[681] = -2.54662
phi[682] = -2.51998
phi[683] = -2.49349
phi[684] = -2.46715
phi[685] = -2.44099
phi[686] = -2.41499
phi[687] = -2.38919
phi[688] = -2.36359
phi[689] = -2.33821
phi[690] = -2.31306
phi[691] = -2.28817
phi[692] = -2.26356
phi[693] = -2.23925
phi[694] = -2.21528
phi[695] = -2.19169
phi[696] = -2.16853
phi[697] = -2.14584
phi[698] = -2.12371
phi[699] = -2.10223
phi[700] = -2.08151
phi[701] = -2.06168
phi[702] = -2.04288
phi[703] = -2.02255
phi[704] = -2.00193
phi[705] = -1.98093
phi[706] = -1.95952
phi[707] = -1.93771
phi[708] = -1.91551
phi[709] = -1.89294
phi[710] = -1.87002
phi[711] = -1.84677
phi[712] = -1.82319
phi[713] = -1.79931
phi[714] = -1.77514
phi[715] = -1.75068
phi[716] = -1.72594
phi[717] = -1.70095
phi[718] = -1.6757
phi[719] = -1.65019
phi[720] = -1.62445
phi[721] = -1.59846
phi[722] = -1.57225
phi[723] = -1.5458
phi[724] = -1.51914
phi[725] = -1.49225
phi[726] = -1.46514
phi[727] = -1.43783
phi[728] = -1.41029
phi[729] = -1.38255
phi[730] = -1.35461
phi[731] = -1.32645
phi[732] = -1.2981
phi[733] = -1.26954
phi[734] = -1.24078
phi[735] = -1.21181
phi[736] = -1.18265
phi[737] = -1.15328
phi[738] = -1.12372
phi[739] = -1.09396
phi[740] = -1.06399
phi[741] = -1.03383
phi[742] = -1.00347
phi[743] = -0.9729
phi[744] = -0.942132
phi[745] = -0.911162
phi[746] = -0.879988
phi[747] = -0.848609
phi[748] = -0.817023
phi[749] = -0.78523
phi[750] = -0.753227
phi[751] = -0.721012
phi[752] = -0.688584
phi[753] = -0.65594
phi[754] = -0.623077
phi[755] = -0.589994
phi[756] = -0.556688
phi[757] = -0.523155
phi[758] = -0.489392
phi[759] = -0.455396
phi[760] = -0.421164
phi[761] = -0.38669
phi[762] = -0.351972
phi[763] = -0.317005
phi[764] = -0.281783
phi[765] = -0.246302
phi[766] = -0.210557
phi[767] = -0.174541
phi[768] = -0.138248
phi[769] = -0.101672
phi[770] = -0.064806
phi[771] = -0.0276414
phi[772] = 0.0098296
phi[773] = 0.047616
phi[774] = 0.0857274
phi[775] = 0.124174
phi[776] = 0.162968
phi[777] = 0.20212
phi[778] = 0.241644
phi[779] = 0.281556
phi[780] = 0.32187
phi[781] = 0.362605
phi[782] = 0.40378
phi[783] = 0.445417
phi[784] = 0.48754
phi[785] = 0.530176
phi[786] = 0.573357
phi[787] = 0.617116
phi[788] = 0.661496
phi[789] = 0.706542
phi[790] = 0.752309
phi[791] = 0.798864
phi[792] = 0.846284
phi[793] = 0.894667
phi[794] = 0.944134
phi[795] = 0.994843
phi[796] = 1.047
phi[797] = 1.10089
phi[798] = 1.15692
phi[799] = 1.2156
phi[800] = 1.2776
phi[801] = 1.34325
phi[802] = 1.41115
phi[803] = 1.46822
phi[804] = 1.52353
phi[805] = 1.57656
phi[806] = 1.6277
phi[807] = 1.67735
phi[808] = 1.72584
phi[809] = 1.77339
phi[810] = 1.82016
phi[811] = 1.86628
phi[812] = 1.91185
phi[813] = 1.95693
phi[814] = 2.0016
phi[815] = 2.0459
phi[816] = 2.08987
phi[817] = 2.13355
phi[818] = 2.17697
phi[819] = 2.22014
phi[820] = 2.26311
phi[821] = 2.30587
phi[822] = 2.34846
phi[823] = 2.39088
phi[824] = 2.43315
phi[825] = 2.47528
phi[826] = 2.51728
phi[827] = 2.55916
phi[828] = 2.60093
phi[829] = 2.6426
phi[830] = 2.68417
phi[831] = 2.72565
phi[832] = 2.76705
phi[833] = 2.80837
phi[834] = 2.84962
phi[835] = 2.8908
phi[836] = 2.93191
phi[837] = 2.97297
phi[838] = 3.01396
phi[839] = 3.05491
phi[840] = 3.0958
phi[841] = 3.13665
phi[842] = 3.17746
phi[843] = 3.21822
phi[844] = 3.25894
phi[845] = 3.29962
phi[846] = 3.34027
phi[847] = 3.38089
phi[848] = 3.42147
phi[849] = 3.46203
phi[850] = 3.50255
phi[851] = 3.54305
phi[852] = 3.58353
phi[853] = 3.62398
phi[854] = 3.6644
phi[855] = 3.70481
phi[856] = 3.7452
phi[857] = 3.78556
phi[858] = 3.82591
phi[859] = 3.86624
phi[860] = 3.90655
phi[861] = 3.94685
phi[862] = 3.98713
phi[863] = 4.0274
phi[864] = 4.06766
phi[865] = 4.1079
phi[866] = 4.14813
phi[867] = 4.18835
phi[868] = 4.22855
phi[869] = 4.26875
phi[870] = 4.30893
phi[871] = 4.34911
phi[872] = 4.38928
phi[873] = 4.42943
phi[874] = 4.46958
phi[875] = 4.50972
phi[876] = 4.54986
phi[877] = 4.58998
phi[878] = 4.6301
phi[879] = 4.67021
phi[880] = 4.71032
phi[881] = 4.75042
phi[882] = 4.79051
phi[883] = 4.8306
phi[884] = 4.87068
phi[885] = 4.91075
phi[886] = 4.95083
phi[887] = 4.99089
phi[888] = 5.03095
phi[889] = 5.07101
phi[890] = 5.11106
phi[891] = 5.15111
phi[892] = 5.19115
phi[893] = 5.23119
phi[894] = 5.27122
phi[895] = 5.31125
phi[896] = 5.35127
phi[897] = 5.3913
phi[898] = 5.43131
phi[899] = 5.47133
phi[900] = 5.51134
phi[901] = 5.55134
phi[902] = 5.59134
phi[903] = -4.83638
phi[904] = -4.80639
phi[905] = -4.77641
phi[906] = -4.74644
phi[907] = -4.7165
phi[908] = -4.68656
phi[909] = -4.65665
phi[910] = -4.62674
phi[911] = -4.59685
phi[912] = -4.56698
phi[913] = -4.53712
phi[914] = -4.50728
phi[915] = -4.47746
phi[916] = -4.44765
phi[917] = -4.41785
phi[918] = -4.38807
phi[919] = -4.35831
phi[920] = -4.32857
phi[921] = -4.29884
phi[922] = -4.26913
phi[923] = -4.23943
phi[924] = -4.20976
phi[925] = -4.1801
phi[926] = -4.15046
phi[927] = -4.12084
phi[928] = -4.09124
phi[929] = -4.06166
phi[930] = -4.0321
phi[931] = -4.00256
phi[932] = -3.97304
phi[933] = -3.94354
phi[934] = -3.91407
phi[935] = -3.88461
phi[936] = -3.85518
phi[937] = -3.82578
phi[938] = -3.7964
phi[939] = -3.76704
phi[940] = -3.73771
phi[941] = -3.70841
phi[942] = -3.67913
phi[943] = -3.64988
phi[944] = -3.62066
phi[945] = -3.59147
phi[946] = -3.56231
phi[947] = -3.53319
phi[948] = -3.50409
phi[949] = -3.47503
phi[950] = -3.44601
phi[951] = -3.41702
phi[952] = -3.38806
phi[953] = -3.35915
phi[954] = -3.33028
phi[955] = -3.30144
phi[956] = -3.27265
phi[957] = -3.24391
phi[958] = -3.21521
phi[959] = -3.18656
phi[960] = -3.15795
phi[961] = -3.1294
phi[962] = -3.1009
phi[963] = -3.07246
phi[964] = -3.04407
phi[965] = -3.01575
phi[966] = -2.98748
phi[967] = -2.95928
phi[968] = -2.93115
phi[969] = -2.90308
phi[970] = -2.87509
phi[971] = -2.84718
phi[972] = -2.81934
phi[973] = -2.79159
phi[974] = -2.76393
phi[975] = -2.73636
phi[976] = -2.70888
phi[977] = -2.6815
phi[978] = -2.65423
phi[979] = -2.62707
phi[980] = -2.60002
phi[981] = -2.5731
phi[982] = -2.54631
phi[983] = -2.51965
phi[984] = -2.49314
phi[985] = -2.46678
phi[986] = -2.44059
phi[987] = -2.41456
phi[988] = -2.38873
phi[989] = -2.36309
phi[990] = -2.33767
phi[991] = -2.31248
phi[992] = -2.28753
phi[993] = -2.26286
phi[994] = -2.23848
phi[995] = -2.21442
phi[996] = -2.19072
phi[997] = -2.16741
phi[998] = -2.14454
phi[999] = -2.12217
phi[1000] = -2.10035
phi[1001] = -2.07915
phi[1002] = -2.05865
phi[1003] = -2.03891
phi[1004] = -2.01753
phi[1005] = -1.99595
phi[1006] = -1.9741
phi[1007] = -1.95196
phi[1008] = -1.92951
phi[1009] = -1.90676
phi[1010] = -1.88371
phi[1011] = -1.86036
phi[1012] = -1.83672
phi[1013] = -1.81281
phi[1014] = -1.78862
phi[1015] = -1.76417
phi[1016] = -1.73946
phi[1017] = -1.7145
